,no,vol,article no,pages in range,publisher name,publisher location,publisher year
365,,,,,Wydawnictwo SGGW,Warszawa,2019
366,,,,,Wydawnictwo C.H. Beck,Warszawa,2019
367,,164,,11-18,Springer Nature Switzerland,Cham,2019
368,,,,9-25,Difin,Warszawa,2019
369,,,,133-148,Springer Nature Switzerland,Cham,2019
370,,,,91-107,Springer Nature Switzerland,Cham,2019
371,4 ,23,,80-95,Obuda University Keleti Faculty of Business and Management,Budapest,2019
372,140 ,,,351-364,Wydawnictwo C.H. Beck,Warszawa,2019
373,139 ,,,575-586,Obuda University Keleti Faculty of Business and Management,Budapest,2019
374,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
375,2 ,59,,116-126,Springer Nature Switzerland,Cham,2019
376,4 ,10,,589-602,Obuda University Keleti Faculty of Business and Management,Budapest,2019
377,,,,57-68,SportWin,Poznañ,2019
378,,,,,Masaryk University,Brno,2019
379,,,,21-43,Masaryk University,Brno,2019
380,,,,122-134,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
381,,,,135-144,Study Centre for European Policy Studies (CEPS),Lisbon,2019
382,,,,95-107,"Centre for Research in Political Science, International Relations and Security (CICPRIS)",Lisbon,2019
383,,,,108-121,Fundacao para a Ciencia e a Tecnologia (FCT),Lisbon,2019
384,,63,,19-28,"The Research Unit on Governance, Competitiveness and Public Policies (GOVCOPP)",Aveiro,2019
385,,,,,University North,Koprivnica,2019
386,,63,,78-89,Faculty of Management University of Warsaw,Warsaw,2019
387,,,,45-54,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
388,,,,9-22,Masaryk University,Brno,2019
389,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
390,,,,,Study Centre for European Policy Studies (CEPS),Lisbon,2019
391,,,,49-59,"Centre for Research in Political Science, International Relations and Security (CICPRIS)",Lisbon,2019
392,4 ,20,,153-166,Fundacao para a Ciencia e a Tecnologia (FCT),Lisbon,2019
393,,,,163-176,"The Research Unit on Governance, Competitiveness and Public Policies (GOVCOPP)",Aveiro,2019
394,3 ,7,,120-125,University North,Koprivnica,2019
395,3 ,20,,9-19,Faculty of Management University of Warsaw,Warsaw,2019
396,,,,,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
397,,,,79-93,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
398,4 ,14,,742-749,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
399,,38,,67-88,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
400,,,,,Pearson College London,London,2019
401,,,,,University North,Koprivnica,2019
402,,,,,Faculty of Management University of Warsaw,Warsaw,2019
403,,,,20-32,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
404,,,,104-114,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
405,,,,36-43,Wydawnictwo Naukowe Akademii WSB,D¹browa,2019
406,,,,157-164,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
407,,,,,SportWin,Poznañ,2019
408,,,,37-49,"Vydavate'lstvo EKONÓM, University of Economics in Bratislava",Bratislava,
409,,,,62-71,Wydawnictwo Naukowe Akademii WSB,D¹browa,2019
410,,,,72-83,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
411,,,,40-51,Springer,Cham,2019
412,,,,52-61,"Vydavate'lstvo EKONÓM, University of Economics in Bratislava",Bratislava,2019
413,,,,20-29,Springer,Cham,2019
414,,,,30-39,Wydawnictwo Naukowe Akademii WSB,D¹browa,2019
415,,,,313-333,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
416,,,,129-139,Springer,Cham,2019
417,,,,,Monetary Research Center,Sofia,2019
418,,,,7-19,Monetary Research Center,Sofia,2019
419,,,,50-60,Wydawnictwo Naukowe Akademii WSB,D¹browa,2019
420,,,,251-270,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
421,,,,86-110,Wydawnictwo Naukowe Akademii WSB,D¹browa,2019
422,,,,1319-1328,Polskie Towarzystwo Ekonomiczne w Katowicach,Katowice,2019
423,1 ,7,,102-126,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
424,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
425,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
426,22 ,9,,104-114,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
427,,,,111-124,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
428,1,73,,182-193,Wydawnictwo Sejmowe,Warszawa,2019
429,,,,287-292,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
430,,,,,Wydawnictwo Politechniki Czêstochowskiej,Czestochowa,2019
431,,,,11-32,Wydawnictwo Sejmowe,Warszawa,2019
432,,,,175-188,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
433,,,,48-53,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
434,,,,,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
435,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
436,,,,48-85,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
437,,,,137-158,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
438,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
439,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
440,,,,209-235,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
441,,,,55-70,Pearson College London,London,2019
442,,,,75-85,University North,Koprivnica,2019
443,,,,,Faculty of Management University of Warsaw,Warsaw,2019
444,,,,12-19,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
445,,,,238-248,,Toruñ,
446,,,,137-142,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
447,22 ,9,,76-85,Pearson College London,London,2019
448,,,,111-124,University North,Koprivnica,2019
449,,,,11-24,Faculty of Management University of Warsaw,Warsaw,2019
450,,,,131-136,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
451,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
452,,,,25-38,Wydawnictwo Proksenia,Poznañ,2019
453,,,,88-100,Wydawnictwo Uniwersytetu £ódzkiego,,2019
454,,,,41-47,,Toruñ,
455,,,,163-165,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
456,,,,124-130,Wydawnictwo Proksenia,Poznañ,2019
457,,,,,Wydawnictwo Proksenia,Poznañ,2019
458,,,,35-40,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
459,,,,205-216,Wydawnictwo Uniwersytetu £ódzkiego,,2019
460,,,,13-47,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
461,,,,,Pearson College London,London,2019
462,,,,205-235,University North,Koprivnica,2019
463,,,,46-52,Faculty of Management University of Warsaw,Warsaw,2019
464,,,,67-78,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
465,,,,,Ko³o Naukowe Systemów Komunikacyjnych Politechniki Krakowskiej im. T. Kociuszki,Kraków,2019
466,,,,7-16,Urz¹d Komisji Nadzoru Finansowego,Warszawa,2019
467,,,,145-156,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
468,,,,99-110,Ko³o Naukowe Systemów Komunikacyjnych Politechniki Krakowskiej im. T. Kociuszki,Kraków,2019
469,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
470,2 ,11,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
471,,,,16-22,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
472,1 ,39,,29-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
473,,,,483-491,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
474,,,,20-66,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
475,,,,9-19,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
476,,,,732-739,Pearson College London,London,2019
477,,,,243-254,University North,Koprivnica,2019
478,,,,,Faculty of Management University of Warsaw,Warsaw,2019
479,,1,,,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
480,,,,104-113,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
481,,,,127-139,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de CatalunyaBarcelonaTech,Barcelona,2019
482,3 ,4,,,Lvivskiy Nacionalnyi Universitet imeni Ivana Franka,Lviv,2019
483,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
484,2 ,141,,861-871,Springer,Cham,2019
485,,,,171-187,Wydawnictwo Uniwersytetu Ekonomicznego we Wroc³awiu,Wroc³aw,2019
486,,,,157-169,Lvivskiy Nacionalnyi Universitet imeni Ivana Franka,Lviv,2019
487,6 ,98,,2391-2424,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
488,,,,241-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
489,,,,3-16,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
490,1 ,7,,525-539,Springer,Cham,2019
491,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
492,,,,422-433,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
493,,,,,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
494,,,,122-132,Wydawnictwo Politechniki Czêstochowskiej,Czestochowa,2019
495,,,,145-154,AGH University of Science and Technology Press,Kraków,2019
496,,,,,Elsevier,Amsterdam,2019
497,,,,,AGH University of Science and Technology Press,Kraków,2019
498,,,,13-23,Springer,Cham,2019
499,,,,53-71,Elsevier,Amsterdam,2019
500,,,,,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
501,,,,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
502,16 ,11,,,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
503,,,,68-77,Editura Economica,Bucharest,2019
504,,,,56-67,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de CatalunyaBarcelonaTech,Barcelona,2019
505,,,,103-118,Springer,Cham,2019
506,,,,92-102,Institute for Sustainability Science and Technology (ISST-UPC) Universitat Politecnica de Catalunya,Barcelona,2019
507,,,,5-19,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
508,,,,20-30,Editura Economica,Bucharest,2019
509,,,,,University College of Inspection and Personnel Management in Split,Split,2019
510,1 ,11,,,The University of Applied Sciences Baltazar,Zapresic,2019
511,4 ,24,,445-468,University North,Koprivnica,2019
512,,,,35-54,Faculty of Management University of Warsaw,Warsaw,2019
513,3 ,,,625-651,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
514,,,,101-114,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
515,1 ,19,,98-109,University College of Inspection and Personnel Management in Split,Split,2019
516,,,,20-34,The University of Applied Sciences Baltazar,Zapresic,2019
517,2 ,33,,220-232,University North,Koprivnica,2019
518,,,,283-294,Faculty of Management University of Warsaw,Warsaw,2019
519,,,,1-7,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
520,,,,51-60,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
521,,,,17-27,The University of Applied Sciences Baltazar,Zapresic,2019
522,,,,179-194,University North,Koprivnica,2019
523,,,,227-262,Faculty of Management University of Warsaw,Warsaw,2019
524,,,,201-211,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
525,,2019,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
526,,,,609-618,University College of Inspection and Personnel Management in Split,Split,2019
527,,,,319-328,The University of Applied Sciences Baltazar,Zapresic,2019
528,,,,,University North,Koprivnica,2019
529,,,,214-234,Faculty of Management University of Warsaw,Warsaw,2019
530,1 ,13,,1-11,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
531,,14,,119-143,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
532,,,,409-424,CeDeWu,Warszawa,2019
533,,,,248-251,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
534,,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
535,,,,1-7,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
536,,,,319-335,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
537,1 ,13,,62-71,Woronezskij Gosudarstvennyj Pedagogiceskij Universitet,Worone,2019
538,,,,95-102,ISEN Yncréa Méditerranée,Toulon,2019
539,,,,103-128,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
540,,,,,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
541,,11,,22-31,Wydawnictwo C.H. Beck,Warszawa,2019
542,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
543,,31,,75-80,Alanya Alaaddin Keykubat University,Alanya,2019
544,7 ,5, e01970,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
545,,,,77-95,CeDeWu,Warszawa,2019
546,4 ,20,,147-170,Alanya Alaaddin Keykubat University,Alanya,2019
547,,,,373-392,Wydawnictwo Naukowe Scholar,Warszawa,2019
548,,,,44-45,Alanya Alaaddin Keykubat University,Alanya,2019
549,,,,,Diamond Scientific Publication,Vilnius,2019
550,,,,173-186,Diamond Scientific Publication,Vilnius,2019
551,,,,282-289,Vilnius Gediminas Technical University,Vilnius,2019
552,,,,37-38,,Vilnius,
553,1 ,11,,74-84,Palgrave Macmillan,Singapore,2019
554,,,,25-26,Diamond Scientific Publication,Vilnius,2019
555,,,,603-609,Diamond Scientific Publication,Vilnius,2019
556,,,,,Palgrave Macmillan,Singapore,2019
557,4 ,2,,57-65,Institute of Economic Research,Olsztyn,2019
558,3 ,2,,24-35,Wydawnictwo C.H. Beck,Warszawa,2019
559,,,,418-425,Institute of Economic Research,Olsztyn,2019
560,,,,47-48,Institute of Economic Research,Olsztyn,2019
561,,,,327-343,Wydawnictwo Uniwersytetu Jagielloñskiego,Kraków,2019
562,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
563,,,,,Institute of Economic Research,Olsztyn,2019
564,,,,301-305,CeDeWu,Warszawa,2019
565,,63,,81-90,Institute of Economic Research,Olsztyn,2019
566,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
567,,,,,Wydawnictwo Uniwersytetu Jagielloñskiego,Kraków,2019
568,,,,23-36,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
569,1 ,,,9-21,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
570,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
571,,,,59-81,Institute of Economic Research,Olsztyn,2019
572,,,,,Vilnius Gediminas Technical University,Vilnius,2019
573,,,,306-316,,Vilnius,
574,,,,93-102,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
575,,,,37-48,Academic Conferences and Publishing International Limited,Reading,2019
576,,,,40-41,ISEN Yncréa Méditerranée,Toulon,2019
577,,,,270-278,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
578,,,,259-269,Wydawnictwo Uniwersytetu l¹skiego,Katowice,2019
579,,110,,232-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
580,,,,103-116,Academic Conferences and Publishing International Limited,Reading,2019
581,,,,273-287,Institute of Economic Research,Olsztyn,2019
582,,,,83-101,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
583,,,,113-130,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
584,2 ,28,,5-21,"Facultad de Ciencias Economicas, Universidad de Buenos Aires",Buenos,2019
585,,,,,Faculty of Management University of Warsaw,Warsaw,2019
586,1 ,9,,32-46,"University of Belgrade, Faculty of Organizational Sciences",Belgrade,2019
587,,,,88-94,"Slovenian Society Informatika, Section for Operational Research",Ljubljana,2019
588,,,,,Springer,Cham,2019
589,,63,,77-87,"Slovenian Society Informatika, Section for Operational Research",Ljubljana,2019
590,,,,205-218,Springer,Cham,2019
591,,,,98-108,Springer,Cham,2019
592,,,,15-30,"Slovenian Society Informatika, Section for Operational Research",Ljubljana,2019
593,,,,171-181,Springer,Cham,2019
594,,,,111-120,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
595,,,,75-87,"Facultad de Ciencias Economicas, Universidad de Buenos Aires",Buenos,2019
596,,,,32-40,University North,Koprivnica,2019
597,,,,99-110,Faculty of Management University of Warsaw,Warsaw,2019
598,,,,25-43,Economics and Social Sciences Sale - Mohammed V University in Rabat,Rabat,2019
599,,,,11-24,Institute of Economic Research,Olsztyn,2019
600,,,,196-204,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
601,,,,,Wydawnictwo C.H. Beck,Warszawa,2019
602,,,,241-253,Wy¿sza Szko³a Zarz¹dzania i Administracji w Opolu,Opole,2019
603,,,,301-308,Wydawnictwo C.H. Beck,Warszawa,2019
604,,,,,Wydawnictwo C.H. Beck,Warszawa,2019
605,,,,111-122,Institute of Economic Research,Olsztyn,2019
606,,,,,Wydawnictwo Naukowe PWN,Warszawa,2019
607,,,,115-124,Institute of Economic Research,Olsztyn,2019
608,,,,122-127,CeDeWu,Warszawa,2019
609,,,,46-56,Institute of Economic Research,Olsztyn,2019
610,,,,132-139,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
611,,,,,"Instytut Dziennikarstwa, Mediów i Komunikacji Spo³ecznej Uniwersytetu Jagielloñskiego",Kraków,2019
612,,,,78-109,Wydawnictwo ToC,Nowy,2019
613,,,,44-77,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
614,,,,133-146,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
615,,,,110-132,Wydawnictwo C.H. Beck,Warszawa,2019
616,,,,352-356,"Instytut Dziennikarstwa, Mediów i Komunikacji Spo³ecznej Uniwersytetu Jagielloñskiego",Kraków,2019
617,,,,352-357,Wydawnictwo ToC,Nowy,2019
618,,,,22-31,Wydawnictwo C.H. Beck,Warszawa,2019
619,,,,197-247,"Faculty of Mass Media Communication, University of Ss. Cyril and Methodius in Trnava",Trnava,2019
620,,,,271-275,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
621,,,,193-199,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
622,,,,184-196,Instytut Pamiêci Narodowej - Komisja cigania Zbrodni przeciwko Narodowi Polskiemu,Katowice,2019
623,,,,177-188,"Slovenian Society Informatika, Section for Operational Research",Ljubljana,2019
624,,,,,"Faculty of Mass Media Communication, University of SS. Cyril and Methodius in Trnava, Slovakia",Trnava,2019
625,,,,1828-1831,"Faculty of Mass Media Communication, University of SS. Cyril and Methodius in Trnava, Slovakia",Trnava,2019
626,1 ,41,,15-22,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
627,,,,126-159,Instytut Pamiêci Narodowej - Komisja cigania Zbrodni przeciwko Narodowi Polskiemu,Katowice,2019
628,,,,85-125,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
629,,,,135-150,"Faculty of Mass Media Communication, University of Ss. Cyril and Methodius in Trnava",Trnava,2019
630,,,,170-183,Kancelaria Senatu,Warszawa,2019
631,,,,,"Slovenian Society Informatika, Section for Operational Research",Ljubljana,2019
632,,8,,26-36,Kancelaria Senatu,Warszawa,2019
633,,,,160-169,Springer,Cham,2019
634,,,,313-324,Emerald Publishing Limited,Bingley,2019
635,,,,211-219,Wydawnictwo Politechniki £ódzkiej,,2019
636,,,,67-84,Governance Research and Development Centre (CIRU),Zagreb,2019
637,2 ,12,,250-266,Wydawnictwo Politechniki £ódzkiej,,2019
638,,,,61-74,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
639,,,,39-49,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
640,,,,83-90,CeDeWu,Warszawa,2019
641,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
642,,,,,C.H. Beck,Warszawa,2019
643,,,,,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
644,,,,,C.H. Beck,Warszawa,2019
645,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
646,3 ,23,,26-39,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
647,,,,,Wydawnictwo C.H. Beck,Warszawa,2019
648,,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu,Poznañ,2019
649,,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
650,,,,122-133,Publishing House of the University of Economics in Katowice,Katowice,2019
651,,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
652,,,,205-225,C.H. Beck,Warszawa,2019
653,,,,549-569,Publishing House of the University of Economics in Katowice,Katowice,2019
654,,,,,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
655,,,,182-189,Routledge,London,2019
656,4 ,22,,21-36,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
657,,,,,C.H. Beck,Warszawa,2019
658,,,,27-28,Publishing House of the University of Economics in Katowice,Katowice,2019
659,,,,103-112,Publishing House of the University of Economics in Katowice,Katowice,2019
660,,,,34-48,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
661,4 ,,,176-187,Publishing House of the University of Economics in Katowice,Katowice,2019
662,4 ,15,,139-161,C.H. Beck,Warszawa,2019
663,3 ,20,,241-255,Routledge,London,2019
664,,,,55-68,Wydawnictwo Akademii Pedagogiki Specjalnej,Warszawa,2019
665,,,,219-234,C.H. Beck,Warszawa,2019
666,,,,257-266,Springer,Cham,2019
667,,76,,682-696,CeDeWu,Warszawa,2019
668,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
669,,,,,University North,Koprivnica,2019
670,,,,334-340,Faculty of Management University of Warsaw,Warsaw,2019
671,21 ,,,51-63,"Faculty of Law, Economics and Social Sciences Sale -Mohammed V University in Rabat",Rabat,2019
672,,,,191-210,Polytechnic of Medimurje in Cakovec,Cakovec,2019
673,,,,175-188,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
674,,,,97-112,University North,Koprivnica,2019
675,,,,29-46,Faculty of Management University of Warsaw,Warsaw,2019
676,,2,,91-122,"Faculty of Law, Economics and Social Sciences Sale -Mohammed V University in Rabat",Rabat,2019
677,3 ,20,,271-286,Polytechnic of Medimurje in Cakovec,Cakovec,2019
678,,,,141-152,Woronezskij Gosudarstvennyj Pedagogiceskij Universitet,Worone,2019
679,,,,289-303,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
680,6 ,11,,,Wydawnictwo Uniwersytetu Rzeszowskiego,Rzeszów,2019
681,,,,81-104,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
682,5 ,11,,,University North,Koprivnica,2019
683,,,,98-106,Faculty of Management University of Warsaw,Warsaw,2019
684,,,,41-50,"Faculty of Law, Economics and Social Sciences Sale -Mohammed V University in Rabat",Rabat,2019
685,,,,165-178,Polytechnic of Medimurje in Cakovec,Cakovec,2019
686,,,,7-35,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
687,,,,102-114,University North,Koprivnica,2019
688,,,,267-276,Faculty of Management University of Warsaw,Warsaw,2019
689,,63,,249-260,"Faculty of Law, Economics and Social Sciences Sale -Mohammed V University in Rabat",Rabat,2019
690,,,,80-85,Polytechnic of Medimurje in Cakovec,Cakovec,2019
691,,,,63-76,Uniwersytet l¹ski w Katowicach. Wydzia³ Prawa i Administracji,Katowice,2019
692,2 ,13,,46-55,Wydawnictwo C.H. Beck,Warszawa,2019
693,,,,,Uniwersytet l¹ski w Katowicach. Wydzia³ Prawa i Administracji,Katowice,2019
694,,,,,IGI Global ; Business Science Reference,Hershey,
695,,,,103-122,C.H. Beck,Warszawa,2019
696,,,,244-266,Governance Research and Development Centre (CIRU),Zagreb,2019
697,,,,631-641,Wydawnictwo Politechniki £ódzkiej,,2019
698,,,,175-180,IGI Global ; Business Science Reference,Hershey,
699,,,,693-705,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
